claim_id,자동라벨,검수라벨,일치여부,비고
148970958-1,NEI,NEI,,
148970532-0,NEI,NEI,,
148970387-1,REFUTED,REFUTED,,
148970144-0,REFUTED,REFUTED,,
148970232-3,SUPPORTED,SUPPORTED,,정부가 할인지원 확대 사실 자체는 인정(정책 평가에는 동의하지 않으나 사실 진술은 일치)
148970848-0,SUPPORTED,SUPPORTED,,
148970958-2,REFUTED,REFUTED,,
148969983-1,SUPPORTED,SUPPORTED,,
148969471-2,REFUTED,REFUTED,,
148970181-0,NEI,NEI,,
148971502-0,REFUTED,REFUTED,,
148969706-2,SUPPORTED,SUPPORTED,,
148971529-0,REFUTED,REFUTED,,
148971641-0,SUPPORTED,SUPPORTED,,
148969617-0,NEI,NEI,,
148970584-1,REFUTED,REFUTED,,
148970936-0,SUPPORTED,SUPPORTED,,
148970388-0,NEI,NEI,,
148969762-3,NEI,NEI,,
148970533-0,SUPPORTED,NEI,,보도 전제 사실을 정부가 다투지 않았을 뿐 인정 문장 없음
